CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
G6004,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA,SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS: 6-10MEV",,,,,
G6005,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA,SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS: 11-19MEV",,,,,
G6006,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA,SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS: 20 MEV OR GREATER",,,,,
G6007,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, 2 SEPARATE TREATMENT AREAS, 3 OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS: UP TO 5MEV",,,,,
G6008,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, 2 SEPARATE TREATMENT AREAS, 3 OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS: 6-10MEV",,,,,
G6009,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, 2 SEPARATE TREATMENT AREAS, 3 OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS: 11-19MEV",,,,,
G6010,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY, 2 SEPARATE TREATMENT AREAS, 3 OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS: 20 MEV OR GREATER",,,,,
G6011,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY,3 OR MORE SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, ELECTRON BEAM; UP TO 5MEV",,,,,
G6012,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY,3 OR MORE SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, ELECTRON BEAM; 6-10MEV",,,,,
G6013,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY,3 OR MORE SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, ELECTRON BEAM; 11-19 MEV",,,,,
G6014,"Radiation, Oncology",Radiation Therapy,"RADIATION TREATMENT DELIVERY,3 OR MORE SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, ELECTRON BEAM; 20 MEV OR GREATER",,,,,
G6015,"Radiation, Oncology",Radiation Therapy,"INTENSITY MODULATED TREATMENT DELIVERY, SINGLE OR MULTIPLE FIELDS/ARCS,VIA NARROW SPATIALLY AND TEMPORALLY MODULATED BEAMS, BINARY, DYNAMIC MLC, PER TREATMENT SESSION",,,,,
G6016,"Radiation, Oncology",Radiation Therapy,"COMPENSATOR-BASED BEAM MODULATION TREATMENT DELIVERY OF INVERSE PLANNED TREATMENT USING 3 OR MORE HIGH RESOLUTION (MILLED OR CAST) COMPENSATOR, CONVERGENT BEAM MODULATED FIELDS, PER TREATMENT SESSION",,,,,
G6017,"Radiation, Oncology",Radiation Therapy,"INTRA-FRACTION LOCALIZATION AND TRACKING OF TARGET OR PATIENT MOTION DURING DELIVERY OF RADIATION THERAPY (EG,3D POSITIONAL TRACKING, GATING, 3D SURFACE TRACKING), EACH FRACTION OF TREATMENT",,,,,
G6018,Family Practice,Office Visit,"ILEOSCOPY,THROUGH STOMA; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)",,,,,
G6019,Gastroenterology,Colon,"COLONOSCOPY THROUGH STOMA; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE",,,,,
G6020,Gastroenterology,Colon,COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION),,,,,
G6021,"Radiation, Oncology",Radiation Therapy,"UNLISTED PROCEDURE, INTESTINE",,,,,
G6022,Gastroenterology,Colon,"SIGMOIDOSCOPY, FLEXIBLE; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESIONS(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE",,,,,
G6023,Gastroenterology,Colon,"SIGMOIDOSCOPY, FLEXIBLE; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)",,,,,
G6024,Gastroenterology,Colon,"COLONOSCOPY, FLEXIBLE; PROXIMAL TO SPLENIC FLEXURE; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TEHNIQUE",,,,,
G6025,Gastroenterology,Colon,"COLONOSCOPY, FLEXIBLE, PROXIMAL TO SPLENIC FLEXURE; WITH TRANSENDOSCOPIC STENT PLACEMENT (INCLUDES PREDILATION)",,,,,
G6027,Family Practice,Office Visit,"ANOSCOPY, HIGH RESOLUTION (HRA) (WITH MAGNIFICATION AND CHEMICAL AGENT ENHANCEMENT); DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING WHEN PERFORMED",,,,,
G6028,Family Practice,Office Visit,"ANOSCOPY, HIGH RESOLUTION (HRA) (WITH MAGNIFICATION AND CHEMICAL AGENT ENHANCEMENT); WITH BIOPSY(IES)",,,,,
G6030,Family Practice,Office Visit,AMITRIPTYLINE,,,,,
G6031,"Radiation, Oncology",Radiation Therapy,BENZODIAZEPINES,,,,,
G6032,Family Practice,Office Visit,DESIPRAMINE,,,,,
G6034,Family Practice,Office Visit,DOXEPIN,,,,,
G6035,Family Practice,Office Visit,GOLD,,,,,
G6036,Family Practice,Office Visit,ASSAY OF IMIPRAMINE,,,,,
G6037,Family Practice,Office Visit,NORTRIPTYLINE,,,,,
G6038,"Radiation, Oncology",Radiation Therapy,SALICYLATE,,,,,
G6039,Family Practice,Office Visit,ACETAMINOPHEN,,,,,
G6040,Family Practice,Office Visit,ALCOHOL (ETHANOL); ANY SPECIMEN EXCEPT BREATH,,,,,
G6041,Family Practice,Office Visit,"ALKALOIDS, URINE, QUANTITATIVE",,,,,
G6042,Family Practice,Office Visit,AMPHETAMINE OR METHAMPHETAMINE,,,,,
G6043,Family Practice,Office Visit,"BARBITURATES, NOT ELSEWHERE SPECIFIED",,,,,
G6044,Family Practice,Office Visit,COCAINE OR METABOLITE,,,,,
G6045,Family Practice,Office Visit,DIHYDROCODEINONE,,,,,
G6046,Family Practice,Office Visit,DIHYDROMORPHINONE,,,,,
G6047,Family Practice,Office Visit,DIHYDROTESTOSTERONE,,,,,
G6048,Family Practice,Office Visit,DIMETHADIONE,,,,,
G6049,Family Practice,Office Visit,EPIANDROSTERONE,,,,,
G6050,Family Practice,Office Visit,ETHCHLORVYNOL,,,,,
G6051,Family Practice,Office Visit,FLURAZEPAM,,,,,
G6052,"Radiation, Oncology",Radiation Therapy,MEPROBAMATE,,,,,
G6053,"Radiation, Oncology",Radiation Therapy,METHADONE,,,,,
G6054,"Radiation, Oncology",Radiation Therapy,METHSUXIMIDE,,,,,
G6055,Family Practice,Office Visit,NICOTINE,,,,,
G6056,Family Practice,Office Visit,"OPIATE(S), DRUG AND METABOLITES, EACH PROCEDURE",,,,,
G6057,Family Practice,Office Visit,PHENOTHIAZINE,,,,,
G6058,Family Practice,Office Visit,"DRUG CONFIRMATION, EACH PROCEDURE",,,,,
G8006,Family Practice,Office Visit,ACUTE MYOCARDIAL INFARCTION: PATIENT DOCUMENTED TO HAVE RECEIVED ASPIRIN ARRIVAL,,,,,
G8007,Family Practice,Office Visit,ACUTE MYOCARDIAL INFARCTION: PATIENT NOT DOCUMENTED TO HAVE RECEIVED ASPIRIN AT ARRIVAL,,,,,
G8008,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN DOCUMENTED THAT ACUTE MYOCARDIAL INFARCTION PATIENT WAS NOT AN ELIGIBLE CANDIDATE TO RECEIVE ASPIRIN AT ARRIVAL MEASURE,,,,,
G8009,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
G8010,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) ACUTE MYOCARDIAL INFARCTION: PATIENTNOT DOCUMENTED TO HAVE RECEIVED BETA-BLOCKER AT ARRIVAL,,,,,
G8011,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT ACUTE MYOCARDIAL INFARCTION PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR BETA-BLOCKER AT ARRIVAL MEASURE,,,,,
G8012,Family Practice,Office Visit,PNEUMONIA: PATIENT DOCUMENTED TO HAVE RECEIVED ANTIBIOTIC WITHIN 4 HOURS OF PRESENTATION,,,,,
G8013,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PNEUMONIA: PATIENT NOT DOCUMENTED TOHAVE RECEIVED ANTIBIOTIC WITHIN 4 HOURS OF PRESENTATION,,,,,
G8014,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PNEUMONIA PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIBIOTIC WITHIN 4 HOURS OF PRESENTATION MEASURE,,,,,
G8015,Family Practice,Office Visit,DIABETIC PATIENT WITH MOST RECENT HEMOGLOBIN A1C LEVEL (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS GREATER THAN 9%,,,,,
G8016,Family Practice,Office Visit,DIABETIC PATIENT WITH MOST RECENT HEMOGLOBIN A1C LEVEL (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS LESS THAN OR EQUAL TO 9%,,,,,
G8017,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT DIABETIC PATIENT WAS NOT ELIGIBLE CANDIDATE FOR HEMOGLOBIN A1C MEASURE,,,,,
G8018,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN HAS NOT PROVIDED CARE FOR THE DIABETIC PATIENT FOR THE REQUIRED TIME FOR HEMOGLOBIN A1C MEASURE (6 MONTHS),,,,,
G8019,Family Practice,Office Visit,DIABETIC PATIENT WITH MOST RECENT LOW-DENSITY LIPOPROTEIN (WITHIN THE LAST 12 MONTHS) DOCUMENTED AS GREATER THAN OR EQUAL TO 100 MG/DL,,,,,
G8020,Family Practice,Office Visit,DIABETIC PATIENT WITH MOST RECENT LOW-DENSITY LIPOPROTEIN (WITHIN THE LAST 12 MONTHS) DOCUMENTED AS LESS THAN 100 MG/ DL,,,,,
G8021,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT DIABETIC PATIENT WAS NOT ELIGIBLE CANDIDATE FOR LOW-DENSITY LIPOPROTEIN MEASURE,,,,,
G8022,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE DIABETIC PATIENT FORTHE REQUIRED TIME FOR LOW-DENSITY LIPOPROTEIN MEASURE (12 MONTHS),,,,,
G8023,Family Practice,Office Visit,DIABETIC PATIENT WITH MOST RECENT BLOOD PRESSURE (WITHIN THELAST 6 MONTHS) DOCUMENTED AS EQUAL TO OR GREATER THAN 140 SYSTOLIC OR EQUAL TO OR GREATER THAN 80 MMHG DIASTOLIC,,,,,
G8024,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) DIABETIC PATIENT WITH MOST RECENT BLOOD PRESSURE (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS LESSTHAN 140 SYSTOLIC AND LESS THAN 80 DIASTOLIC,,,,,
G8025,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT THE DIABETIC PATIENT WAS NOT ELIGIBLE CANDIDATE FOR BLOOD PRESSURE MEASURE,,,,,
G8026,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE DIABETIC PATIENT FORTHE REQUIRED TIME FOR BLOOD MEASURE (WITHIN THE LAST 6 MONTHS),,,,,
G8027,Family Practice,Office Visit,HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) DOCUMENTED TO BE ON EITHER ANGIOTENSIN- CONVERTING ENZYME INHIBITOR OR ANGIOTENSIN-RECEPTOR BLOCKER (ACE-I OR ARB) THERAPY,,,,,
G8028,Family Practice,Office Visit,HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) NOT DOCUMENTED TO BE ON EITHER ANGIOTENSIN-CONVERTING ENZYME INHIBITOR OR ANGIOTENSIN- RECEPTOR BLOCKER (ACE-I OR ARB) THERAPY,,,,,
G8029,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT HEART FAILURE PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR EITHER ANGIOTENSIN-CONVERTING ENZYME INHIBITOR OR ANGIOTENSIN-RECEPTOR BLOCKER (ACE-I OR ARB) THERAPY MEASURE,,,,,
G8030,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) DOCUMENTED TO BE ON BETA-BLOCKER THERAPY,,,,,
G8031,Family Practice,Office Visit,HEART FAILURE PATIENT WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (LVSD) NOT DOCUMENTED TO BE ON BETA-BLOCKER THERAPY,,,,,
G8032,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT HEART FAILURE PATIENT WAS NOT ELIGIBLE CANDIDATE FOR BETA-BLOCKER THERAPY MEASURE,,,,,
G8033,Family Practice,Office Visit,PRIOR MYOCARDIAL INFARCTION - CORONARY ARTERY DISEASE PATIENT DOCUMENTED TO BE ON BETA-BLOCKER THERAPY,,,,,
G8034,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PRIOR MYOCARDIAL INFARCTION - CORONARY ARTERY DISEASE PATIENT NOT DOCUMENTED TO BE ON BETA-BLOCKER THERAPY,,,,,
G8035,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
G8036,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
G8037,Family Practice,Office Visit,CORONARY ARTERY DISEASE PATIENT NOT DOCUMENTED TO BE ON ANTIPLATELET THERAPY,,,,,
G8038,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT CORONARY ARTERY DISESASE PATIENT WAS NOT ELIGIBLE CANDIDATE FOR ANTIPLATELET THERAPY MEASURE,,,,,
G8039,Family Practice,Office Visit,CORONARY ARTERY DISEASE - PATIENT WITH LOW-DENSITY LIPOPROTEIN DOCUMENTED TO BE GREATER THAN 100MG/DL,,,,,
G8040,Family Practice,Office Visit,CORONARY ARTERY DISEASE - PATIENT WITH LOW-DENSITY LIPOPROTEIN DOCUMENTED TO BE LESS THAN OR EQUAL TO 100MG/DL,,,,,
G8041,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT CORONARY ARTERY DISEASE PATIENT WAS NOT ELIGIBLE CANDIDATE FOR LOW-DENSITY LIPOPROTEIN MEASURE,,,,,
G8051,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT (FEMALE) DOCUMENTED TO HAVE BEEN ASSESSED FOR OSTEOPOROSIS,,,,,
G8052,Family Practice,Office Visit,PATIENT (FEMALE) NOT DOCUMENTED TO HAVE BEEN ASSESSED FOR OSTEOPOROSIS,,,,,
G8053,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN DOCUMENTED THAT (FEMALE) PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR OSTEOPOROSIS ASSESSMENT MEASURE,,,,,
G8054,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED FOR THE ASSESSMENT FOR FALLS WITHIN LAST 12 MONTHS,,,,,
G8055,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
G8056,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR THE FALLS ASSESSMENT MEASURE WITHIN THE LAST 12 MONTHS,,,,,
G8057,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED HEARING ASSESSMENT,,,,,
G8058,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED HEARING ASSESSMENT,,,,,
G8059,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR HEARING ASSESSMENT MEASURE,,,,,
G8060,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT DOCUMENTED FOR THE ASSESSMENT OF URINARY INCONTINENCE,,,,,
G8061,Family Practice,Office Visit,PATIENT NOT DOCUMENTED FOR THE ASSESSMENT OF URINARY INCONTINENCE,,,,,
G8062,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR URINARY INCONTINENCE ASSESSMENT MEASURE,,,,,
G8075,Family Practice,Office Visit,END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED DIALYSIS DOSE OF URR GREATER THAN OR EQUAL TO 65% (OR KT/V GREATER THAN OR EQUAL TO 1.2),,,,,
G8076,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) END STAGE RENAL DISEASE PATIENT WITHDOCUMENTED DIALYSIS DOSE OF URR LESS THAN 65% (OR KT/V LESS THAN 1.2),,,,,
G8077,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT END STAGE RENAL DISEASE PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR URR OR KT/V MEASURE,,,,,
G8078,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) END STAGE RENAL DISEASE PATIENT WITHDOCUMENTED HEMATOCRIT GREATER THAN OR EQUAL TO 33 (OR HEMOGLOBIN GREATER THAN OR EQUAL TO 11),,,,,
G8079,Family Practice,Office Visit,END STAGE RENAL DISEASE PATIENT WITH DOCUMENTED HEMATOCRIT LESS THAN 33 (OR HEMOGLOBIN LESS THAN 11),,,,,
G8080,Family Practice,Office Visit,CLINCIAN DOCUMENTED THAT END STAGE RENAL DISEASE PATIENT WASNOT AN ELIGIBLE CANDIDATE FOR HEMATOCRIT (HEMOGLOBIN) MEASURE,,,,,
G8081,Family Practice,Office Visit,END STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS VASCULAR ACCESS DOCUMENTED TO HAVE RECEIVED AUTOGENOUS AV FISTULA,,,,,
G8082,Family Practice,Office Visit,END STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS DOCUMENTED TO HAVE RECEIVED VASCULAR ACCESS OTHER THAN AUTOGENOUS AV FISTULA,,,,,
G8085,Family Practice,Office Visit,END-STAGE RENAL DISEASE PATIENT REQUIRING HEMODIALYSIS VASCULAR ACCESS WAS NOT AN ELIGIBLE CANDIDATE FOR AUTOGENOUSAV FISTULA,,,,,
G8093,Family Practice,Office Visit,"NEWLY DIAGNOSED CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)PATIENT DOCUMENTED TO HAVE RECEIVED SMOKING CESSATION INTERVENTION, WITHIN 3 MONTHS OF DIAGNOSIS",,,,,
G8094,Family Practice,Office Visit,"NEWLY DIAGNOSED CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)PATIENT NOT DOCUMENTED TO HAVE RECEIVED SMOKING CESSATION INTERVENTION, WITHIN 3 MONTHS OF DIAGNOSIS",,,,,
G8099,Family Practice,Office Visit,OSTEOPOROSIS PATIENT DOCUMENTED TO HAVE BEEN PRESCRIBED CALCIUM AND VITAMIN D SUPPLEMENTS,,,,,
G8100,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT OSTEOPOROSIS PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CALCIUM AND VITAMIN D SUPPLEMENT MEASURE,,,,,
G8103,Family Practice,Office Visit,NEWLY DIAGNOSED OSTEOPORSIS PATIENTS DOCUMENTED TO HAVE BEENTREATED WITH ANTIRESORPTIVE THERAPY AND/OR PTH WITHIN 3 MONTHS OF DIAGNOSIS,,,,,
G8104,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT NEWLY DIAGNOSED OSTEOPORSIS PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIRESORPTIVE THERAPY AND/OR PTH TREATMENT MEASURE WITHIN 3 MONTHS OF DIAGNOSIS,,,,,
G8106,"Radiation, Oncology",Radiation Therapy,"WITHIN 6 MONTHS OF SUFFERING A NONTRAUMATIC FRACTURE, FEMALEPATIENT 65 YEARS OF AGE OR OLDER DOCUMENTED TO HAVE UNDERGONE BONE MINERAL DENSITY TESTING OR TO HAVE BEEN PRESCRIBED A DRUG TO TREAT OR PREVENT OSTEOPOROSIS",,,,,
G8107,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT FEMALE PATIENT 65 YEARS OF AGE OR OLDER WHO SUFFERED A NONTRAUMATIC FRACTURE WITHIN THE LAST 6MONTHS WAS NOT AN ELIGIBLE CANDIDATE FOR MEASURE TO TEST BONE MINERAL DENSITY OR DRUG TO TREAT OR PREVENT OSTEOPOROSIS,,,,,
G8108,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED INFLUENZA VACCINATION DURING INFLUENZA SEASON,,,,,
G8109,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED INFLUENZA VACCINATION DURING INFLUENZA SEASON,,,,,
G8110,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR INFLUENZA VACCINATION MEASURE,,,,,
G8111,Family Practice,Office Visit,PATIENT (FEMALE) DOCUMENTED TO HAVE RECEIVED A MAMMOGRAM DURING THE MEASUREMENT YEAR OR PRIOR YEAR TO THE MEASUREMENTYEAR,,,,,
G8112,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT (FEMALE) NOT DOCUMENTED TO HAVE RECEIVED A MAMMOGRAM DURING THE MEASUREMENT YEAR OR PRIOR YEAR TO THE MEASUREMENT YEAR,,,,,
G8113,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT FEMALE PATIENT WAS NOT AN ELIGIBLECANDIDATE FOR MAMMOGRAPHY MEASURE,,,,,
G8114,Family Practice,Office Visit,"CLINICIAN DID NOT PROVIDE CARE TO PATIENT FOR THE REQUIRED TIME OF MAMMOGRAPHY MEASURE (I.E., MEASUREMENT YEAR OR PRIORYEAR)",,,,,
G8115,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED PNEUMOCOCCAL VACCINATION,,,,,
G8116,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED PNEUMOCOCCAL VACCINATION,,,,,
G8117,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PNEUMOCOCCAL VACCINATION MEASURE,,,,,
G8126,Family Practice,Office Visit,PATIENT DOCUMENTED AS BEING TREATED WITH ANTIDEPRESSANT MEDICATION DURING THE ENTIRE 12 WEEK ACUTE TREATMENT PHASE,,,,,
G8127,Family Practice,Office Visit,PATIENT NOT DOCUMENTED AS BEING TREATED WITH ANTIDEPRESSANT MEDICATION DURING THE ENTIRE 12 WEEKS ACUTE TREATMENT PHASE,,,,,
G8128,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIDEPRESSANT MEDICATION DURING THE ENTIRE 12WEEK ACUTE TREATMENT PHASE MEASURE,,,,,
G8129,Family Practice,Office Visit,PATIENT DOCUMENTED AS BEING TREATED WITH ANTIDEPRESSANT MEDICATION FOR AT LEAST 6 MONTHS CONTINUOUS TREATMENT PHASE,,,,,
G8130,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED AS BEING TREATED WITH ANTIDEPRESSANT MEDICATION FOR AT LEAST 6 MONTHSCONTINUOUS TREATMENT PHASE,,,,,
G8131,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIDEPRESSANT MEDICATION FOR CONTINUOUS TREATMENT PHASE,,,,,
G8152,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED ANTIBIOTIC PROPHYLAXIS ONE HOUR PRIOR TO INCISION TIME (TWO HOURS FOR VANCOMYCIN),,,,,
G8153,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED ANTIBIOTIC PROPHYLAXIS ONE HOUR PRIOR TO INCISION TIME (TWO HOURS FOR VANCOMYCIN),,,,,
G8154,Family Practice,Office Visit,CLINCIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIBIOTIC PROPHYLAXIS ONE HOUR PRIOR TO INCISION TIME (TWO HOURS FOR VANCOMYCIN) MEASURE,,,,,
G8155,Family Practice,Office Visit,PATIENT WITH DOCUMENTED RECEIPT OF THROMBOEMBOLISM PROPHYLAXIS,,,,,
G8156,Family Practice,Office Visit,PATIENT WITHOUT DOCUMENTED RECEIPT OF THROMBOEMBOLISM PROPHYLAXIS,,,,,
G8157,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR THROMBOEMBOLISM PROPHYLAXIS MEASURE,,,,,
G8158,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED CORONARY ARTERY BYPASS GRAFT WITH USE OF INTERNAL MAMMARY ARTERY,,,,,
G8159,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED CORONARY ARTERY BYPASS GRAFT WITHOUT USE OF INTERNAL MAMMARY ARTERY,,,,,
G8160,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CORONARY ARTERY BYPASS GRAFT WITH USE OF INTERNAL MAMMARY ARTERY MEASURE,,,,,
G8161,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DOCUMENTED TO HAVE RECEIVED PRE-OPERATIVE BETA-BLOCKADE,,,,,
G8162,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT NOT DOCUMENTED TO HAVE RECEIVED PRE-OPERATIVE BETA-BLOCKADE,,,,,
G8163,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT WAS NOT AN ELIGIBLE CANDIDATE FOR PRE-OPERATIVE BETA-BLOCKADE MEASURE,,,,,
G8164,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DOCUMENTED TO HAVE PROLONGED INTUBATION,,,,,
G8165,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT NOT DOCUMENTED TO HAVE PROLONGED INTUBATION,,,,,
